Id,Name,Surname,Division,Manager,Gender,Ethnicity,Disability,Veteran,Age,Nationality
1,Deborah,Addison,IT,No,Transgender,White,Yes,No,29,Polish
2,Mona,Hill,Marketing,No,Male,White,No,No,59,Lao
3,Kimberly,Shelton,Finance,No,Female,White,No,No,43,Canadian
4,Denis,Robinson,HR,No,Male,White,Yes,No,44,Canadian
5,Carmen,Gunn,RD,No,Male,Asian,No,No,50,Korean
6,Nathan,Furnell,Sales,No,Male,Black,No,No,37,Canadian
7,Luke,Sinclair,Marketing,No,Male,White,No,No,34,English
8,Fred,Callan,Sales,No,Male,White,No,No,27,Norwegian
9,Carter,Owen,Finance,No,Male,Black,No,No,52,Indian
10,Harry,Dobson,Sales,No,Male,Black,No,No,47,Indian
11,Ramon,Mccall,Sales,No,Male,White,No,No,54,Indian
12,Fred,Wilton,RD,No,Female,Middle Eastern,No,No,35,Indian
13,Nick,Sloan,Operations,No,Prefer not to say,Black,No,No,54,Jordanian
14,Kassandra,Jarrett,Operations,No,Male,Middle Eastern,No,No,32,Sri Lankan
15,Russel,Larsen,Sales,No,Male,White,No,No,29,Canadian
16,Rhea,Latham,IT,No,Male,Middle Eastern,No,No,32,British
17,Liliana,Todd,HR,No,Male,White,No,No,39,Canadian
18,Brad,Windsor,Operations,No,Male,White,No,No,33,Canadian
19,David,Russel,IT,No,Non-binary/non-conforming,White,No,No,29,Canadian
20,Carina,Robertson,HR,No,Prefer not to say,White,No,No,34,Brazilian
21,Henry,Ainsworth,Operations,No,Male,White,No,No,29,American
22,Chester,Carson,IT,No,Male,White,No,No,40,Canadian
23,Ronald,Varley,Sales,No,Female,White,No,No,52,Canadian
24,Chester,Foxley,IT,No,Male,White,No,No,43,Ukrainian
25,John,Underhill,Marketing,Yes,Prefer not to say,Black,No,No,26,Canadian
26,Oliver,Page,Sales,No,Male,White,No,No,30,Indian
27,Rosa,Hunt,HR,No,Male,White,No,No,29,Mongolian
28,Fiona,Willis,Sales,No,Female,White,Yes,No,43,Malaysian
29,Evelynn,Maxwell,Sales,No,Male,White,No,No,36,American
30,Nicholas,Cadman,Finance,No,Male,White,Yes,No,37,Chinese
31,Eduardo,Holmes,Sales,No,Male,White,No,No,34,Canadian
32,Marvin,Allcott,IT,No,Female,White,Yes,No,27,Canadian
33,Domenic,Redfern,Sales,No,Male,White,No,No,35,Indian
34,Lindsay,Michael,IT,No,Male,White,No,No,26,Canadian
35,Oliver,Yang,Finance,Yes,Female,Middle Eastern,No,No,28,Canadian
36,Eduardo,Roberts,IT,No,Male,White,Prefer not to say,No,35,Canadian
37,Carissa,King,IT,No,Transgender,Other,No,No,37,Canadian
38,Jane,Boyle,Marketing,No,Male,White,Yes,No,49,Korean
39,Jasmine,Waterhouse,Marketing,No,Male,White,No,No,30,Canadian
40,Logan,Ingham,Marketing,No,Male,White,Yes,No,31,Polish
41,Julianna,Rixon,IT,No,Female,White,Yes,No,34,Canadian
42,Emery,Booth,RD,No,Female,Asian,No,No,34,Canadian
43,Gabriel,Ellery,Finance,No,Female,Asian,No,No,30,Canadian
44,Hannah,Goldsmith,Finance,No,Male,White,No,No,30,Indian
45,Domenic,Tyrrell,Marketing,No,Male,White,No,No,54,English
46,Nick,Jeffery,HR,No,Male,White,No,Prefer not to say,41,Canadian
47,Chuck,Heaton,Sales,No,Male,Asian,No,No,34,Canadian
48,Doug,Clifford,IT,No,Male,Black,No,No,43,Greek
49,Ramon,Allington,Sales,No,Male,Black,No,No,45,Indian
50,Ron,Kennedy,Marketing,No,Male,White,No,No,27,Canadian
51,Domenic,Potts,IT,No,Male,White,No,No,56,Indian
52,Hadley,Farrell,Finance,No,Female,White,Yes,No,47,Norwegian
53,Audrey,Bolton,Marketing,No,Female,White,No,No,42,Greek
54,Tara,Dallas,Sales,No,Male,Asian,No,No,40,Canadian
55,Mason,Farrant,HR,No,Male,Asian,No,No,34,Canadian
56,Percy,Farrell,Operations,No,Male,Asian,Yes,No,50,Australian
57,Liam,Santos,Sales,No,Male,Black,No,No,56,Indian
58,Joseph,Gosling,Finance,No,Male,White,No,No,30,Chinese
59,Phoebe,Knight,Marketing,No,Male,White,No,No,35,Canadian
60,Jackeline,Phillips,IT,No,Male,White,No,No,34,American
61,John,Stone,Sales,No,Male,White,Yes,No,39,Canadian
62,Sienna,Edwards,Marketing,No,Female,White,No,No,25,Canadian
63,Marilyn,Patel,Sales,No,Female,Middle Eastern,No,Yes,58,Afghan
64,Taylor,Mitchell,HR,No,Female,White,No,No,26,Indian
65,Mark,Baker,Finance,No,Male,Asian,No,No,57,Canadian
66,Hayden,Wigley,IT,No,Female,White,No,Yes,36,Indian
67,Kurt,Addis,IT,No,Prefer not to say,White,No,No,42,Icelandic
68,Candice,Graham,HR,No,Male,Latin,Yes,No,43,American
69,Chelsea,Wright,IT,No,Female,Prefer not to say,No,No,65,Canadian
70,Agnes,Irwin,Operations,No,Female,Latin,No,No,27,American
71,Josh,Price,IT,No,Female,White,No,No,42,Canadian
72,Barney,Spencer,Operations,No,Female,White,No,No,38,Canadian
73,Aiden,Yarwood,Sales,No,Male,White,No,No,26,Costa Rican
74,Noah,Wilkinson,HR,No,Female,White,Yes,No,30,Canadian
75,Clint,Ellison,Sales,No,Male,White,No,No,35,Canadian
76,Liam,Zaoui,Sales,No,Male,White,No,No,27,Canadian
77,Ellen,Simpson,Operations,No,Male,White,No,No,30,Czech
78,Kassandra,Coleman,Sales,No,Female,White,No,No,43,Canadian
79,Amelia,Murray,IT,No,Male,White,No,No,43,Sri Lankan
80,Bob,Evans,Sales,No,Male,White,No,No,48,Canadian
81,Elijah,Fall,Finance,No,Other,Asian,No,No,45,Canadian
82,Ruby,Blackwall,Sales,Yes,Male,White,No,No,33,Fijian
83,Erin,Watson,Sales,No,Female,White,No,No,35,Canadian
84,Sonya,Avery,Sales,No,Male,White,No,No,31,Canadian
85,Barry,Hood,Operations,No,Female,White,No,No,27,Canadian
86,Florence,Andrews,HR,No,Male,White,No,No,26,Indian
87,Karen,Amstead,Sales,No,Male,White,Yes,No,36,American
88,Ethan,Quinton,Sales,No,Male,Asian,No,Prefer not to say,42,Indian
89,Enoch,Gilmore,Sales,No,Male,White,No,No,45,Indian
90,Amelia,Andrews,Operations,No,Male,White,No,No,38,Polish
91,Lynn,Bishop,HR,No,Male,Latin,No,No,53,Indian
92,Noah,Weldon,Sales,No,Female,White,No,No,54,Canadian
93,Holly,London,Operations,No,Female,White,No,No,27,Canadian
94,Clint,Williams,Sales,No,Female,Prefer not to say,No,No,35,Canadian
95,Melinda,Wallace,IT,No,Non-binary/non-conforming,White,No,No,45,American
96,Matthew,Plumb,Sales,Yes,Male,White,No,No,30,Canadian
97,Adeline,Khan,HR,No,Prefer not to say,White,No,No,26,American
98,Elijah,Olivier,Finance,No,Prefer not to say,Asian,No,No,28,American
99,Phillip,Shelton,IT,No,Male,Prefer not to say,No,No,33,Canadian
100,Abbey,Graham,Sales,No,Prefer not to say,Middle Eastern,No,No,46,Canadian
101,Daniel,Harper,Sales,No,Male,White,No,No,43,Canadian
102,Hayden,Moss,Sales,No,Female,White,No,No,30,Polish
